id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label,link,hashtag,date,content,interactions
894.0,Tamerlan676,10 lat. Kawał życia żyć w fanatycznej miłości do takiego kretyna jak #Trzaskowski to trzeba mieć nasrane we łbach.,0,0,0,0.0,"Jun 3, 2025 · 5:05 PM UTC",114.0,19.0,,,,,,
895.0,prawyyprawy,"Trzaskowski nie przegrał przez ""brak rozliczeń"". Ale jeśli to są wasze wnioski i chcecie na tym opierać dalsze funkcjonowanie rządu to róbcie tak dalej bo zjedziecie z 30% na 20%",0,0,0,0.0,"Jun 3, 2025 · 5:05 PM UTC",178.0,30.0,,,,,,
896.0,Marcin679851,Zawsze wina jest tych co niechcieli głosować na tego jedynego właściwego kandydata a może czas zacząć myśleć czemu Ci ludzie nie chcą głosować?,0,0,0,0.0,"Jun 3, 2025 · 5:05 PM UTC",143.0,23.0,,,,,,
897.0,Mariusz05025167,"1,5 roku opierdalania i pasożytnictwa czekając na ""swojego"" prezydenta... teraz nagle ""dobra nie wyszło , musimy skleić jakiś program bo przepierdolimy kolejne wybory"". Wasz rząd to taki sam MEM jak Trzaskowski. Zero wizji a jedynie kalkulowanie i kłamanie jak tu wygrać wybory🤡",0,0,0,0.0,"Jun 3, 2025 · 11:59 AM UTC",278.0,42.0,,,,,,
898.0,Lukasz_Bonzel,"Koncepcja jest i chciałem prosić o opinie Trzaskowski za Tuska, Giertych za Bodnara, Mazguła za Kosiniaka, Murański za Sikorskiego, Szalony Reporter za Nitrasa, Jagielska za Leszczynę, Kapela za Siemoniaka, Gorzej chyba nie będzie 🤷",0,2,3,5.0,"Jun 3, 2025 · 4:53 PM UTC",232.0,34.0,,,,,,
899.0,Karol_Mytnick,Błędne tezy Panie Matczak. Nawrockiemu zwycięstwo zapewniły negative votes świadomych (odpornych na propagandę PO i PiS) wyborców głosujących przeciwko rządowi Tuska gdzie Trzaskowski miał mu zapewnić władze absolutną.,0,0,0,0.0,"Jun 3, 2025 · 5:05 PM UTC",218.0,28.0,,,,,,
923.0,Marciin12,"Dokładnie, kampania była bardzo zła. Gdyby nie cv gangusa, sam zostałbym w domu. Głosowałem w drugiej turze na RT wyłącznie dlatego, że jego kontrkandydat dla mnie jest niewybieralny.",0,0,0,0.0,"Jun 3, 2025 · 5:06 PM UTC",183.0,28.0,,,,,,
924.0,myslozbir,"Trzaskowski przegrał, jego orbiterzy nie mogą jednak przyznać, że to on jest beznadziejny. Muszą wziąć winę na siebie. Tak też działa kult wodza w systemach totalitarnych, np. w Korei Północnej, gdzie wódz, oczywiście, popełnia błędy, ale są one tabu. Najczęściej więc winę zwala się na zwnętrznych wrogów. Stany Zjednoczone, Korea Południowa czy inne kraje są często obwiniane za trudności gospodarcze, klęski żywiołowe czy inne niepowodzenia Korei Północnej. Tamtejsza propaganda podkreśla, że przywódca działa idealnie, ale wrogie siły sabotują jego plany. Trochę jak z ludźmi zaburzonymi narcystycznie: nic nigdy nie jest ich winą, zawsze zaś winne jest otoczenie. Tak myśli przecież narcyz! To w sumie też taktyta lubiana przez lewicę: osoby trans/migranci/kobiety nigdy przecież nie są winne swoich czynów. Za wszystko według lewaków odpowiada transfobia/rasizm/patriarchat. Inna taktyka totalitarystów to zwalanie winy na niesubordynacje podwładnych. Jeśli coś idzie nie tak, odpowiedzialność spada na urzędników niższego szczebla, którzy rzekomo nie wykonali poleceń wodza prawidłowo. W takich przypadkach mogą być przeprowadzane czystki, a winni są publicznie krytykowani lub karani. Albo sami robią publiczną ""podpi*rdolkę"". Składają samokrytykę przed Partią. I teraz pewnie i rząd Tuska i otoczenie Trzaska takie czystki spotkają. Gdy te dwie pierwsze wymówki natomiast nie starczą, to można sięgnąć po okoliczności zewnętrzne. Problemy, takie jak klęski żywiołowe czy sankcje międzynarodowe, są więc - dla przykładu w Korei Północnej - przedstawiane jako przyczyny niepowodzeń, nigdy zaś jako efekt decyzji przywódcy. W mediach państwowych, takich jak gazeta Rodong Sinmun czy telewizja KCTV, nie ma więc miejsca na krytykę przywódcy. Każdy jego ruch jest przedstawiany jako genialny i prowadzący do dobrobytu narodu. Nawet w przypadku ewidentnych niepowodzeń, takich jak trudności gospodarcze czy nieudane testy rakietowe, propaganda albo przemilcza te kwestie, albo przedstawia je w pozytywnym świetle (np. nieudany test rakietowy jest „kolejnym krokiem w rozwoju technologii”). Nie zrozumcie mnie źle - kampania Trzaskowskiego była żałośnie zaplanowana i działała głównie jako kampania negatywna: ""wybierzcie Trzaskowskiego, bo nie jest Nawrockim"". Do tego sztab Trzaskowskiego stosował głównie triki ulubione przez zaburzone kobiety: plotki, niszczenie reputacji, fałszywe oskarżenia. A na tym jednak trudno jest budować wizerunek, bo kłamstwo ma krótkie nóżki. Ludzie chętnie stają zaś po stronie ofiar nagonki - w tym wypadku jej ofiarą był p. Nawrocki. Ostatecznie jednak to Trzaskowski przegrał. Bo był paskudnym kandydatem.",0,3,4,7.0,"Jun 3, 2025 · 1:45 PM UTC",2644.0,368.0,,,,,,
925.0,Sachinettiyil,"Karol Nawrocki, known for declaring that “we cannot be ashamed” of Christian values, has now taken the lead in the latest Ipsos poll to become Poland’s next president, pulling ahead of Warsaw’s left-leaning mayor, Rafał Trzaskowski.",11,323,33,367.0,"Jun 1, 2025 · 9:44 PM UTC",232.0,36.0,,,,,,
927.0,annahanzel1,"A prof. Dudek wysunął ciekawa propozycję, że Trzaskowski mógłby zostać premierem. Zastrzegł zaraz, że D. Tusk na to nigdy by się nie zgodził.",0,1,1,2.0,"Jun 3, 2025 · 4:32 PM UTC",141.0,23.0,,,,,,
931.0,przeciwpis,"ale wiesz, że za PiSu 2005-2007 też się za tyle zapierdalało? Kwestia poziomu rozwoju, Polska się cały czas rozwija, różnica w poziomie życia między początkiem PO-PSL 2007, a końcem w 2015 była ogromna.",0,0,0,0.0,"Jun 3, 2025 · 5:05 PM UTC",202.0,33.0,,,,,,
932.0,DarekCieslak,Powielić ten sam schemat...‍🤦‍ To nie mogło się udać...🤷‍ Beznadzieje działania sztabu na sugestie... Tak spieprzyć 🤦‍🤦‍🤦‍,0,0,0,0.0,"Jun 3, 2025 · 5:05 PM UTC",122.0,17.0,,,,,,
933.0,piswenezuela,"Skoro Kaczyński wyciągnął kandydata dosłownie z d*py i on dawał na żywo w dziąsło, wyłudził mieszkanie, pożyczał kasę na lichwiarski procent, był sutenerem i mimo to wygrał, to jakie ma Pani kompetencje razem z tym swoim śmiesznym sztabem?",0,0,0,0.0,"Jun 3, 2025 · 5:05 PM UTC",239.0,38.0,,,,,,
934.0,GotfrydKarol,Jedno pytanie: czy akcja pani Kinii Grajewskiej była uzgodniona że sztabem wyborczym?,0,0,0,0.0,"Jun 3, 2025 · 5:05 PM UTC",85.0,12.0,,,,,,
956.0,Daniel_Czyz1,Aby nadal nic nie robić 🥳,0,0,0,0.0,"Jun 3, 2025 · 5:06 PM UTC",25.0,6.0,,,,,,
957.0,Troll_Poland,Trzaskowski pogratulował. Chociaż tyle.,0,0,0,0.0,"Jun 3, 2025 · 5:06 PM UTC",39.0,4.0,,,,,,
986.0,MKomendecka,"Szanowna Pani, kampania wyglądała jakby ktoś celowo wpuszczał kandydata w maliny. Nie zauważyła Pani czy też sama jest odpowiedzialna za tę „ustawkę”?",0,0,0,0.0,"Jun 3, 2025 · 5:06 PM UTC",150.0,22.0,,,,,,
987.0,LordUnkas,"Co za bzdury. Nie ma tu konkretów tylko owijanie makaronu na uszy. Kto mu piszę to coś? Ma doktorat to go o to nie posądzam! Być może te substancje które bierze źle na niego wpływają. Szkoda, że nie zrobił testów na cebulki włosów na obecność. gorset za ciasny koturny za wysokie",0,0,0,0.0,"Jun 3, 2025 · 5:06 PM UTC",279.0,51.0,,,,,,
988.0,2KontoMarek,A co on poza bycie prezydentem potrafi robic.,0,0,0,0.0,"Jun 3, 2025 · 5:06 PM UTC",45.0,8.0,,,,,,
989.0,goggy58464800,"Trzaskowski Ci nie mówił? Czasy się zmieniły: ludzie nie chcą wybierać europejskich sługusów którzy chcą wprowadzić pakt migracyjny, ETS2, umowę Mercosur, czy doprowadzić do federalizacji.",0,0,0,0.0,"Jun 3, 2025 · 5:06 PM UTC",188.0,25.0,,,,,,
991.0,Mary_Beret,No po co im podpowiadasz?,0,0,0,0.0,"Jun 3, 2025 · 5:06 PM UTC",25.0,5.0,,,,,,
